Code,FAA Aircraft Type,EDMS Aircraft Code,Engine Manufacturer,Engine,EDMS ID,SCC,SCC Description,Map To,Last Inventory Year,Last updated on
201222,Grumman E-2 Hawkeye,4901,,T56-A-16 ,1682,2275001000,"Military Aircraft, Total",,,7/18/2018
201223,Lockheed C-130 Hercules,4894,,T56-A-7 ,1683,2275001000,"Military Aircraft, Total",,,7/18/2018
201224,Lockheed C-130 Hercules,4894,,T56-A-9 ,1684,2275001000,"Military Aircraft, Total",,,7/18/2018
201225,Grumman E-2 Hawkeye,4901,,T56-A-9 ,1684,2275001000,"Military Aircraft, Total",,,7/18/2018
201226,Boeing B-52 Stratofortress,4889,,JT3D-3B (Military) ,1568,2275001000,"Military Aircraft, Total",,,7/18/2018
201227,Grumman EA-6B Prowler,4902,,J52-P-408 ,1569,2275001000,"Military Aircraft, Total",,,7/18/2018
201228,Boeing IDS B-1B Lancer,4887,,F101-GE-102 ,1546,2275001000,"Military Aircraft, Total",,,7/18/2018
201229,Boeing IDS B-1B Lancer,4887,,F101-GE-102 (w/AB) ,1547,2275001000,"Military Aircraft, Total",,,7/18/2018
201230,Northrop Grumman B-2 Spirit,4888,,F118-GE-100 ,1560,2275001000,"Military Aircraft, Total",,,7/18/2018
201231,Lockheed C-130 Hercules,4894,,501D22A ,1461,2275001000,"Military Aircraft, Total",,,7/18/2018
201232,Aero Spacelines Super Guppy,5001,,501D22A ,1461,2275001000,"Military Aircraft, Total",,,7/31/2018
201233,Lockheed C-130 Hercules,4894,Allison Engine Company,AE3007A,1431,2275001000,"Military Aircraft, Total",,,7/18/2018
201234,Cessna 650 Citation III,4690,Allied Signal,TFE731-2-2B,1204,2275050012,"General Aviation, Turbine",,,7/18/2018
201235,Cessna 650 Citation III,4690,Allied Signal,TFE731-3,1205,2275050012,"General Aviation, Turbine",,,7/18/2018
201237,Bombardier Challenger 600,4658,General Electric Company,CF34-3B/-3B1,2110,2275050012,"General Aviation, Turbine",,,8/5/2021
201238,Bombardier Challenger 300,4657,Rolls-Royce Corporation,AE3007A1,1476,2275050012,"General Aviation, Turbine",,,7/18/2018
201239,Bombardier Challenger 600,4658,Textron Lycoming,ALF 502L-2,1334,2275050012,"General Aviation, Turbine",,,7/18/2018
201240,Fokker (VFW) 614,5012,Rolls Royce Ltd,M45H-01,1315,2275060012,"Air Taxi, Turbine",,,7/31/2018
201241,Bombardier Challenger 601,4659,GE Aircraft Engines,CF34-3A,1246,2275050012,"General Aviation, Turbine",,,7/31/2018
201242,Bombardier Challenger 601,4659,GE Aircraft Engines,CF34-3A1,1247,2275050012,"General Aviation, Turbine",,,7/31/2018
201243,Bombardier CRJ-100,4698,GE Aircraft Engines,CF34-3A1,1247,2275060012,"Air Taxi, Turbine",,,7/31/2018
201244,Bombardier CRJ-200,4699,GE Aircraft Engines,CF34-3A1,1247,2275060012,"Air Taxi, Turbine",,,7/31/2018
201245,Bombardier Challenger 601,4659,Rolls-Royce Corporation,AE3007A1,1476,2275050012,"General Aviation, Turbine",,,7/31/2018
201246,Bombardier Challenger 601,4659,General Electric Company,CF34-3B/-3B1,2110,2275050012,"General Aviation, Turbine",,,8/5/2021
201247,Bombardier Challenger 602,4660,General Electric Company,CF34-3B/-3B1,2110,2275050012,"General Aviation, Turbine",,,8/5/2021
201248,Bombardier Challenger 604,4661,General Electric Company,CF34-3B/-3B1,2110,2275050012,"General Aviation, Turbine",,,8/5/2021
201249,Bombardier CRJ-100,4698,General Electric Company,CF34-3B/-3B1,2110,2275060012,"Air Taxi, Turbine",,,8/5/2021
201250,Bombardier CRJ-200,4699,General Electric Company,CF34-3B/-3B1,2110,2275060012,"Air Taxi, Turbine",,,8/5/2021
201251,Bombardier CRJ-700,4700,General Electric Company,CF34-3B/-3B1,2110,2275020000,"Commercial Aircraft, Total: All Types",,,8/5/2021
201252,Bombardier CRJ-200,4699,GE,CF34-8C1,1464,2275060012,"Air Taxi, Turbine",,,7/31/2018
201253,Bombardier CRJ-700,4700,GE,CF34-8C1,1464,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
201257,Bombardier CRJ-700,4700,GE Aircraft Engines,CF34-8C1 Block 1,1506,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
201259,Lancair 360,4849,,IO-360-B ,1567,2275050011,"General Aviation, Piston",,,7/18/2018
201260,Aviat Husky A1B,4524,,IO-360-B ,1567,2275050011,"General Aviation, Piston",,,7/18/2018
201261,Cessna 172 Skyhawk,4666,,IO-360-B ,1567,2275050011,"General Aviation, Piston",,,7/31/2018
201262,Cessna 182,4667,,IO-360-B ,1567,2275050011,"General Aviation, Piston",,,7/31/2018
201263,Cessna 172 Skyhawk,4666,,IO-320-D1AD ,1566,2275050011,"General Aviation, Piston",,,7/31/2018
201264,Raytheon Beech D17S Staggerwing,4705,,TIO-540-J2B2 ,1715,2275050011,"General Aviation, Piston",,,7/18/2018
201265,Cessna 172 Skyhawk,4666,,TSIO-360C ,1745,2275050011,"General Aviation, Piston",,,7/31/2018
201266,Rans S7S,4966,,O-200 ,1593,2275050011,"General Aviation, Piston",,,7/18/2018
201267,Cessna 172 Skyhawk,4666,,O-320 ,1594,2275050011,"General Aviation, Piston",,,7/31/2018
201268,Maule MT-7-235,4865,,TIO-540-J2B2 ,1715,2275050011,"General Aviation, Piston",,,7/31/2018
