Code,FAA Aircraft Type,EDMS Aircraft Code,Engine Manufacturer,Engine,EDMS ID,SCC,SCC Description,Map To,Last Inventory Year,Last updated on
200001,Robinson R22,4964,,O-320 ,1594,2275050011,"General Aviation, Piston",,,7/31/2018
200002,Bell AH-1J Cobra,4883,,T400-CP-400 ,1675,2275001000,"Military Aircraft, Total",,,7/18/2018
200003,Bell UH-1 Iroquois,4934,,T400-CP-400 ,1675,2275001000,"Military Aircraft, Total",,,7/18/2018
200004,Bell AH-1S Cobra,4884,,T53-L-11D ,1676,2275001000,"Military Aircraft, Total",,,7/18/2018
200005,Bell AH-1S Cobra,4884,,T53-L-13 ,1677,2275001000,"Military Aircraft, Total",,,7/18/2018
200006,Boeing CH-46 Sea Knight,4891,,T58-GE-16 ,1685,2275001000,"Military Aircraft, Total",,,7/18/2018
200007,Sikorsky SH-3 Sea King,4927,,T58-GE-5 ,1686,2275001000,"Military Aircraft, Total",,,7/18/2018
200008,Boeing CH-46 Sea Knight,4891,,T58-GE-8F ,1687,2275001000,"Military Aircraft, Total",,,7/18/2018
200009,Kaman SH-2 Seasprite,4926,,T58-GE-8F ,1687,2275001000,"Military Aircraft, Total",,,7/18/2018
200010,Sikorsky SH-3 Sea King,4927,,T58-GE-8F ,1687,2275001000,"Military Aircraft, Total",,,7/18/2018
200011,Hughes OH-6 Cayuse,4920,,T63-A-5A ,1688,2275001000,"Military Aircraft, Total",,,7/18/2018
200012,Sikorsky CH-53 Sea Stallion,4899,,T64-GE-100 ,1689,2275001000,"Military Aircraft, Total",,,7/18/2018
200013,Sikorsky CH-53E Super Stallion,4900,,T64-GE-100 ,1689,2275001000,"Military Aircraft, Total",,,7/18/2018
200014,Sikorsky CH-53 Sea Stallion,4899,,T64-GE-413 ,1690,2275001000,"Military Aircraft, Total",,,7/18/2018
200015,Sikorsky CH-53 Sea Stallion,4899,,T64-GE-415 ,1691,2275001000,"Military Aircraft, Total",,,7/18/2018
200016,Sikorsky CH-53E Super Stallion,4900,,T64-GE-416 ,1692,2275001000,"Military Aircraft, Total",,,7/18/2018
200017,Sikorsky CH-53 Sea Stallion,4899,,T64-GE-6B ,1693,2275001000,"Military Aircraft, Total",,,7/18/2018
200018,Bell AH-1W SuperCobra,4885,,T700-GE-401 -401C ,1694,2275001000,"Military Aircraft, Total",,,7/18/2018
200019,Kaman SH-2 Seasprite,4926,,T700-GE-401 -401C ,1694,2275001000,"Military Aircraft, Total",,,7/18/2018
200020,Sikorsky SH-60 Sea Hawk,4928,,T700-GE-401 -401C ,1694,2275001000,"Military Aircraft, Total",,,7/18/2018
200021,Sikorsky UH-60 Black Hawk,4935,,T700-GE-700 ,1695,2275001000,"Military Aircraft, Total",,,7/18/2018
200022,Sikorsky S-76 Spirit,4970,,T700-GE-700 ,1695,2275060012,"Air Taxi, Turbine",,,7/18/2018
200023,Robinson R22,4964,,TSIO-360C ,1745,2275050011,"General Aviation, Piston",,,7/31/2018
200024,Robinson R22,4964,,IO-320-D1AD ,1566,2275050011,"General Aviation, Piston",,,7/31/2018
200025,Robinson R22,4964,,IO-360-B ,1567,2275050011,"General Aviation, Piston",,,7/31/2018
200026,Bell 206 JetRanger,4644,,250B17B ,1339,2275001000,"Military Aircraft, Total",,,7/31/2018
200027,Hughes OH-6 Cayuse,4920,,250B17B ,1339,2275001000,"Military Aircraft, Total",,,7/18/2018
200028,Agusta A-109,4523,,250B17B ,1339,2275060012,"Air Taxi, Turbine",,,7/31/2018
200029,Boelkow BO-105,4647,,250B17B ,1339,2275050012,"General Aviation, Turbine",,,7/18/2018
200030,Hughes 500D,4809,,250B17B ,1339,2275060012,"Air Taxi, Turbine",,,7/31/2018
200031,Raytheon Beech 1900-C,4633,P & W Canada,PT6A-67B ,1612,2275050012,"General Aviation, Turbine",,,7/31/2018
200032,Raytheon Beech 1900-C,4633,P & W Canada,PT6A-67D ,1613,2275050012,"General Aviation, Turbine",,,7/31/2018
200033,Raytheon Beech 1900-D,4634,P & W Canada,PT6A-67D ,1613,2275050012,"General Aviation, Turbine",,,7/31/2018
200034,BAE Jetstream 1,4842,P & W Canada,PT6A-60 ,1630,2275050012,"General Aviation, Turbine",,,7/31/2018
200035,BAE Jetstream 200 Series,4843,P & W Canada,PT6A-60 ,1630,2275050012,"General Aviation, Turbine",,,7/31/2018
200036,Raytheon Beech 1900-C,4633,P & W Canada,PT6A-65B ,1638,2275050012,"General Aviation, Turbine",,,7/31/2018
200037,BAE Jetstream 31,4836,Allied Signal,TPE331-10GT ,1716,2275050012,"General Aviation, Turbine",,,7/31/2018
200038,BAE Jetstream 31,4836,Allied Signal,TPE331-10UA ,1717,2275050012,"General Aviation, Turbine",,,7/31/2018
200039,BAE Jetstream 31,4836,Allied Signal,TPE331-10UK ,1719,2275050012,"General Aviation, Turbine",,,7/31/2018
200040,BAE Jetstream 32,4837,Allied Signal,TPE331-12UA ,1720,2275050012,"General Aviation, Turbine",,,7/31/2018
200041,BAE Jetstream 32-EP,4838,Allied Signal,TPE331-12UA ,1720,2275050012,"General Aviation, Turbine",,,7/31/2018
200042,BAE Jetstream 41,4839,Allied Signal,TPE331-14GR ,1721,2275050012,"General Aviation, Turbine",,,7/31/2018
200043,BAE Jetstream 31,4836,Allied Signal,TPE331-10UG ,1718,2275050012,"General Aviation, Turbine",,,7/31/2018
200044,BAE Jetstream 31,4836,,TPE331-10 ,1726,2275050012,"General Aviation, Turbine",,,7/31/2018
200045,BAE Jetstream 31,4836,Allied Signal,TPE331-10A ,1727,2275050012,"General Aviation, Turbine",,,7/31/2018
200046,BAE Jetstream 31,4836,Allied Signal,TPE331-10G ,1728,2275050012,"General Aviation, Turbine",,,7/31/2018
200047,BAE Jetstream 31,4836,Allied Signal,TPE331-10N ,1729,2275050012,"General Aviation, Turbine",,,7/31/2018
200048,BAE Jetstream 31,4836,Allied Signal,TPE331-10U ,1731,2275050012,"General Aviation, Turbine",,,7/31/2018
200049,BAE Jetstream 41,4839,,TPE331-14 ,1735,2275050012,"General Aviation, Turbine",,,7/31/2018
200050,BAE Jetstream 32,4837,,TPE331-12 ,1733,2275050012,"General Aviation, Turbine",,,7/31/2018
200051,BAE Jetstream 32-EP,4838,,TPE331-12 ,1733,2275050012,"General Aviation, Turbine",,,7/31/2018
200052,Boeing 707-300 Series,4582,,TF33-P-100 ,1703,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200053,Boeing 707-100 Series,4581,,TF33-P3/5/7 ,1706,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200054,Boeing 707-300 Series,4582,,TF33-P3/5/7 ,1706,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200055,Boeing 707-100 Series,4581,Pratt & Whitney,JT3D-3B,1258,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200056,Boeing 707-100 Series,4581,Pratt & Whitney,JT3D-7 series,1259,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200059,Boeing 707-300 Series,4582,Pratt & Whitney,JT3D-7 series,1259,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200060,Boeing 707-300 Series,4582,Pratt & Whitney,JT3D-3B,1258,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200061,Boeing 707-300 Series,4582,CFMI,CFM56-2A series,1206,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200062,Boeing 707-300 Series,4582,CFMI,CFM56-2B-1,1207,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200063,Ilyushin 62 Classic,4832,KKBM,NK-8-2U,1253,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200064,Ilyushin 62 Classic,4832,KKBM,NK-8-2U,1254,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200065,Antonov 124 Ruslan,4557,ZMKB,D-36,1338,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200066,Antonov 148-100A,5210,ZMKB,D-36,1338,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200067,Lockheed C-141 Starlifter,4895,,TF33-P-3/103 ,1705,2275001000,"Military Aircraft, Total",,,7/18/2018
200068,Lockheed C-141 Starlifter,4895,,TF33-P-102&102A ,1704,2275001000,"Military Aircraft, Total",,,7/18/2018
200069,Lockheed C-141 Starlifter,4895,,TF33-P3/5/7 ,1706,2275001000,"Military Aircraft, Total",,,7/18/2018
200070,Lockheed C-141 Starlifter,4895,,TF33-P-5&9 ,1707,2275001000,"Military Aircraft, Total",,,7/18/2018
200071,Lockheed C-141 Starlifter,4895,,TF33-P-7 ,1708,2275001000,"Military Aircraft, Total",,,7/18/2018
200072,Lockheed C-141 Starlifter,4895,,TF33-P-100 ,1703,2275001000,"Military Aircraft, Total",,,7/18/2018
200073,Boeing 707-300 Series,4582,,CFM56-2B ,1528,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200074,Ilyushin 62 Classic,4832,AO Aviadgatel,D-30KU,1201,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200083,Boeing 717-200 Series,4583,BMW Rolls-Royce GmbH,BR700-715A1-30,1432,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200085,Boeing 717-200 Series,4583,BMW Rolls-Royce GmbH,BR700-715C1-30,1434,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200086,Boeing 717-200 Series,4583,BMW Rolls-Royce GmbH,BR700-715A1-30,1435,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200088,Boeing 717-200 Series,4583,BMW Rolls-Royce GmbH,BR700-715C1-30,1437,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200089,Embraer ERJ190,4754,,CF34-10E ,1748,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200090,Embraer ERJ195,4756,,CF34-10E ,1748,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200091,Boeing 720,4584,Pratt & Whitney,JT3D-3B,1258,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200094,Boeing 727-100 Series,4585,Pratt & Whitney,JT8D-9 series,1263,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200095,Boeing 727-100 Series,4585,Pratt & Whitney,JT8D-9 series,1264,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200096,Boeing 727-100 Series,4585,Pratt & Whitney,JT8D-7 series,1261,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200097,Boeing 727-100 Series,4585,Pratt & Whitney,JT8D-15,1267,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200098,Boeing 727-100 Series,4585,Pratt & Whitney,JT8D-17AR,1272,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200099,Boeing 727-100 Series,4585,Pratt & Whitney,JT8D-17R,1273,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200100,Yakovlev 42 Clobber,5016,ZMKB,D-36,1338,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200101,Boeing 727-100 Series,4585,Rolls Royce Ltd,TAY Mk650-15,1332,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200102,Boeing 727-100 Series,4585,Rolls Royce plc,TAY 650,1427,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200103,Boeing 727-100 Series,4585,Rolls Royce plc,TAY 651,1428,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200104,Boeing 727-100 Series,4585,Rolls Royce plc,TAY 651,1429,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200105,Boeing 727-100 Series,4585,Pratt & Whitney,JT8D-217C,1454,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200106,Boeing 727-200 Series,4586,Pratt & Whitney,JT8D-7 series,1261,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200108,Boeing 727-200 Series,4586,Pratt & Whitney,JT8D-15,1267,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200109,Dassault Mercure 100,4875,Pratt & Whitney,JT8D-15,1266,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200110,Boeing 727-200 Series,4586,Pratt & Whitney,JT8D-15,1266,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200111,Dassault Mercure 100,4875,Pratt & Whitney,JT8D-15,1267,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200112,Boeing 727-200 Series,4586,Pratt & Whitney,JT8D-15A,1268,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200113,Boeing 727-200 Series,4586,Pratt & Whitney,JT8D-17,1269,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200114,Boeing 727-200 Series,4586,Pratt & Whitney,JT8D-17,1270,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200115,Boeing 727-200 Series,4586,Pratt & Whitney,JT8D-17A,1271,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200116,Boeing 727-200 Series,4586,Pratt & Whitney,JT8D-17R,1273,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200117,Boeing 727-200 Series,4586,Pratt & Whitney,JT8D-17AR,1272,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200118,Boeing 727-200 Series,4586,Pratt & Whitney,JT8D-217 series,1275,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200119,Boeing 727-200 Series,4586,Pratt & Whitney,JT8D-219,1276,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200120,Tupolev 154 Careless,5008,KKBM,NK-8-2U,1254,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200121,Tupolev 154 Careless,5008,KKBM,NK-8-2U,1253,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200122,Boeing 727-200 Series,4586,Pratt & Whitney,JT8D-217C,1454,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200123,Boeing 727-200 Series,4586,Pratt & Whitney,JT8D-219,1455,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200124,Tupolev 154 Careless,5008,AO Aviadgatel,D-30KU-154,1202,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200125,Boeing 727-200 Series,4586,Pratt & Whitney,JT8D-9 series,1264,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200126,Boeing 727-200 Series,4586,Pratt & Whitney,JT8D-9 series,1263,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200127,Boeing 737-100 Series,4587,Pratt & Whitney,JT8D-9 series,1263,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200128,Boeing 737-200 Series,4588,Pratt & Whitney,JT8D-9 series,1263,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200129,Boeing 737-100 Series,4587,Pratt & Whitney,JT8D-9 series,1264,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200130,Boeing 737-200 Series,4588,Pratt & Whitney,JT8D-9 series,1264,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200133,Boeing 737-100 Series,4587,Pratt & Whitney,JT8D-7 series,1261,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200134,Boeing 737-200 Series,4588,Pratt & Whitney,JT8D-7 series,1261,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200135,Boeing 737-100 Series,4587,Pratt & Whitney,JT8D-17A,1271,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200136,Boeing 737-100 Series,4587,Pratt & Whitney,JT8D-17,1270,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200137,Boeing 737-100 Series,4587,Pratt & Whitney,JT8D-17,1269,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200138,Boeing 737-100 Series,4587,Pratt & Whitney,JT8D-15A,1268,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200139,Boeing 737-200 Series,4588,Pratt & Whitney,JT8D-15A,1268,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200140,Boeing 737-100 Series,4587,Pratt & Whitney,JT8D-15,1266,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200141,Boeing 737-200 Series,4588,Pratt & Whitney,JT8D-15,1266,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200142,Boeing 737-100 Series,4587,Pratt & Whitney,JT8D-15,1267,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200143,Boeing 737-200 Series,4588,Pratt & Whitney,JT8D-15,1267,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200144,Boeing 737-100 Series,4587,Pratt & Whitney,JT8D-17AR,1272,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200147,Boeing 737-300 Series,4589,CFMI,CFM56-3C-1,1212,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200154,Boeing 737-400 Series,4590,CFMI,CFM56-3C-1,1212,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200165,Boeing 737-500 Series,4591,CFMI,CFM56-3C-1,1212,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200171,Boeing 737-600 Series,4592,GE,CFM56-7B18,1387,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200173,Boeing 737-600 Series,4592,GE,CFM56-7B20,1388,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200174,Boeing 737-700 Series,4593,GE,CFM56-7B20,1388,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200175,Boeing 737-600 Series,4592,GE,CFM56-7B22,1389,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200176,Boeing 737-700 Series,4593,GE,CFM56-7B22,1389,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200178,Boeing 737-700 Series,4593,GE,CFM56-7B24,1390,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200203,Boeing 737-800 Series,4595,GE,CFM56-7B27,1392,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200204,Boeing Business Jet II,4596,GE,CFM56-7B27,1392,2275020000,"Commercial Aircraft, Total: All Types",,,7/31/2018
200205,Boeing 737-900 Series,4597,GE,CFM56-7B27,1392,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200210,Boeing 737-800 Series,4595,GE,CFM56-7B24,1390,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200211,Boeing 737-900 Series,4597,GE,CFM56-7B24,1390,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200220,Boeing 737-200 Series,4588,Pratt & Whitney,JT8D-17AR,1272,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200221,Boeing 737-200 Series,4588,Pratt & Whitney,JT8D-17,1269,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200222,Boeing 737-200 Series,4588,Pratt & Whitney,JT8D-17,1270,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200223,Boeing 737-200 Series,4588,Pratt & Whitney,JT8D-17A,1271,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200227,Boeing 747-100 Series,4598,Pratt & Whitney,JT9D-7F,1279,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200228,Boeing 747-100SR,4604,Pratt & Whitney,JT9D-7F,1279,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200229,Boeing 747-100 Series,4598,Pratt & Whitney,JT9D-7F,1280,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200230,Boeing 747-100 Series,4598,Pratt & Whitney,JT9D-7J,1281,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200231,Boeing 747-100SR,4604,Pratt & Whitney,JT9D-7J,1281,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200232,Boeing 747-100 Series,4598,Pratt & Whitney,JT9D-7Q,1282,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200233,Boeing 747-100 Series,4598,Pratt & Whitney,JT9D-7R4G2,1286,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200234,Boeing 747-100 Series,4598,Pratt & Whitney,JT9D-7R4H1,1287,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200235,Boeing 747-100 Series,4598,GE Aircraft Engines,CF6-45A2,1221,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200236,Boeing 747-100SR,4604,GE Aircraft Engines,CF6-45A2,1221,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200237,Boeing 747-100 Series,4598,Rolls Royce Ltd,RB211-524C2,1320,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200238,Boeing 747-100 Series,4598,Pratt & Whitney,JT9D-20J,1289,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200239,Boeing 747-100SR,4604,Pratt & Whitney,JT9D-7R4H1,1287,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200240,Boeing 747-100SR,4604,Pratt & Whitney,JT9D-20J,1289,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200241,Boeing 747-100 Series,4598,Pratt & Whitney,JT9D-70A,1291,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200242,Boeing 747-100 Series,4598,GE,CF6-45A,1404,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200243,Boeing 747-100SR,4604,GE,CF6-45A,1404,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200244,Boeing 747-100 Series,4598,,RB211-524 ,1670,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200245,Boeing 747-100 Series,4598,GE,CF6-45A2,1405,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200246,Boeing 747-100SR,4604,GE,CF6-45A2,1405,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200247,Boeing 747-100 Series,4598,,JT9D-70 ,1589,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200248,Boeing 747-100SR,4604,,JT9D-70 ,1589,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200249,Boeing 747-100 Series,4598,,JT9D-7A (MOD V) ,1590,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200250,Boeing 747-100SR,4604,,JT9D-7A (MOD V) ,1590,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200251,Boeing 747-300 Series,4600,,JT9D-7A (MOD V) ,1590,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200252,Boeing 747-200 Series,4599,,JT9D-70 ,1589,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200253,Boeing 747-300 Series,4600,,JT9D-70 ,1589,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200254,Boeing 747-200 Series,4599,GE,CF6-50A,1406,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200255,Boeing 747-300 Series,4600,GE,CF6-50A,1406,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200256,Boeing 747-200 Series,4599,GE,CF6-50CA,1408,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200257,Boeing 747-300 Series,4600,GE,CF6-50CA,1408,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200258,Boeing 747-200 Series,4599,GE,CF6-50C2R,1409,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200259,Boeing 747-300 Series,4600,GE,CF6-50C2R,1409,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200260,Boeing 747-200 Series,4599,,RB211-524 ,1670,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200261,Boeing 747-300 Series,4600,,RB211-524 ,1670,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200262,Boeing 747-200 Series,4599,GE,CF6-80C2B8FA,1395,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200263,Boeing 747-300 Series,4600,GE,CF6-80C2B8FA,1395,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200264,Boeing 747-200 Series,4599,GE,CF6-80E1A4,1449,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200265,Boeing 747-300 Series,4600,GE,CF6-80E1A4,1449,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200266,Boeing 747-200 Series,4599,GE,CF6-80E1A4,1450,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200267,Boeing 747-300 Series,4600,GE,CF6-80E1A4,1450,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200268,Ilyushin 96,4835,Pratt & Whitney,PW2037,1456,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200269,Boeing 747-200 Series,4599,GE,CF6-80E1A3,1466,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200270,Boeing 747-300 Series,4600,GE,CF6-80E1A3,1466,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200271,Boeing 747-200 Series,4599,GE,CF6-50E,1412,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200272,Boeing 747-200 Series,4599,GE,CF6-50E1,1413,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200273,Boeing 747-300 Series,4600,GE,CF6-50E1,1413,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200274,Boeing 747-200 Series,4599,GE,CF6-50E2,1414,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200275,Boeing 747-300 Series,4600,GE,CF6-50E2,1414,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200276,Boeing 747-200 Series,4599,GE,CF6-50C1,1410,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200277,Boeing 747-200 Series,4599,GE,CF6-50E2B,1416,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200278,Boeing 747-300 Series,4600,GE,CF6-50E2B,1416,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200279,Boeing 747-200 Series,4599,,CF6-80CB42 ,1530,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200280,Boeing 747-300 Series,4600,,CF6-80CB42 ,1530,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200281,Boeing 747-200 Series,4599,Pratt & Whitney,JT9D-70A,1291,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200282,Boeing 747-200 Series,4599,Pratt & Whitney,JT9D-20J,1289,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200283,Boeing 747-300 Series,4600,Pratt & Whitney,JT9D-20J,1289,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200284,Boeing 747-200 Series,4599,Rolls Royce Ltd,RB211-524C2,1320,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200285,Boeing 747-300 Series,4600,Rolls Royce Ltd,RB211-524C2,1320,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200286,Boeing 747-200 Series,4599,Rolls Royce Ltd,RB211-524D4,1321,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200287,Boeing 747-300 Series,4600,Rolls Royce Ltd,RB211-524D4,1321,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200288,Boeing 747-200 Series,4599,Rolls Royce Ltd,RB211-524D4,1322,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200289,Boeing 747-300 Series,4600,Rolls Royce Ltd,RB211-524D4,1322,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200290,Boeing 747-200 Series,4599,Rolls Royce Ltd,RB211-524B series,1318,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
